Kachelname;Aktualitaet;Bildflugnummer;Koordinatenursprung_East;Koordinatenursprung_North
dop10rgbi_32_343_5634_1_nw;2019-06-18;nn;343000;5634000
dop10rgbi_32_343_5635_1_nw;2019-06-18;nn;343000;5635000
dop10rgbi_32_343_5636_1_nw;2019-06-18;nn;343000;5636000
dop10rgbi_32_343_5637_1_nw;2019-06-18;nn;343000;5637000
dop10rgbi_32_344_5636_1_nw;2019-06-18;nn;344000;5636000
dop10rgbi_32_345_5632_1_nw;2019-06-18;nn;345000;5632000
dop10rgbi_32_345_5633_1_nw;2019-06-18;nn;345000;5633000
dop10rgbi_32_345_5634_1_nw;2019-06-18;nn;345000;5634000
dop10rgbi_32_346_5631_1_nw;2019-06-18;nn;346000;5631000
dop10rgbi_32_346_5634_1_nw;2019-06-18;nn;346000;5634000
dop10rgbi_32_346_5635_1_nw;2019-06-18;nn;346000;5635000
dop10rgbi_32_346_5636_1_nw;2019-06-18;nn;346000;5636000
dop10rgbi_32_347_5633_1_nw;2019-06-18;nn;347000;5633000
dop10rgbi_32_347_5635_1_nw;2019-06-18;nn;347000;5635000
dop10rgbi_32_347_5636_1_nw;2019-06-18;nn;347000;5636000
dop10rgbi_32_347_5637_1_nw;2019-06-18;nn;347000;5637000
dop10rgbi_32_348_5634_1_nw;2019-06-18;nn;348000;5634000
dop10rgbi_32_348_5635_1_nw;2019-06-18;nn;348000;5635000
dop10rgbi_32_348_5636_1_nw;2019-06-18;nn;348000;5636000
dop10rgbi_32_348_5637_1_nw;2019-06-18;nn;348000;5637000
dop10rgbi_32_349_5634_1_nw;2019-06-18;nn;349000;5634000
dop10rgbi_32_349_5635_1_nw;2019-06-18;nn;349000;5635000
dop10rgbi_32_349_5636_1_nw;2019-06-18;nn;349000;5636000
dop10rgbi_32_349_5637_1_nw;2019-06-18;nn;349000;5637000
dop10rgbi_32_350_5633_1_nw;2019-06-18;nn;350000;5633000
dop10rgbi_32_350_5636_1_nw;2019-06-18;nn;350000;5636000
dop10rgbi_32_350_5637_1_nw;2019-06-18;nn;350000;5637000
dop10rgbi_32_351_5630_1_nw;2019-06-18;nn;351000;5630000
dop10rgbi_32_351_5631_1_nw;2019-06-18;nn;351000;5631000
dop10rgbi_32_351_5637_1_nw;2019-06-18;nn;351000;5637000
dop10rgbi_32_352_5630_1_nw;2019-06-18;nn;352000;5630000
dop10rgbi_32_352_5631_1_nw;2019-06-18;nn;352000;5631000
dop10rgbi_32_352_5632_1_nw;2019-06-18;nn;352000;5632000
dop10rgbi_32_352_5633_1_nw;2019-06-18;nn;352000;5633000
dop10rgbi_32_353_5631_1_nw;2019-06-18;nn;353000;5631000
dop10rgbi_32_353_5632_1_nw;2019-06-18;nn;353000;5632000
dop10rgbi_32_353_5633_1_nw;2019-06-18;nn;353000;5633000
dop10rgbi_32_353_5634_1_nw;2019-06-18;nn;353000;5634000
dop10rgbi_32_354_5630_1_nw;2019-06-18;nn;354000;5630000
dop10rgbi_32_354_5633_1_nw;2019-06-18;nn;354000;5633000
dop10rgbi_32_354_5634_1_nw;2019-06-18;nn;354000;5634000
dop10rgbi_32_354_5635_1_nw;2019-06-18;nn;354000;5635000
dop10rgbi_32_355_5632_1_nw;2019-06-18;nn;355000;5632000
dop10rgbi_32_355_5634_1_nw;2019-06-18;nn;355000;5634000
